round;game_id;points_available;date;location;team_1;team_2;score_1;score_2
1;1;3;2024-06-14;Munich;Germany;Scotland;5;1
1;2;3;2024-06-15;Cologne;Hungary;Switzerland;1;3
1;3;3;2024-06-15;Berlin;Spain;Croatia;3;0
1;4;3;2024-06-15;Dortmund;Italy;Albania;2;1
1;5;3;2024-06-16;Hamburg;Poland;Netherlands;1;2
1;6;3;2024-06-16;Stuttgart;Slovenia;Denmark;1;1
1;7;3;2024-06-16;Gelsenkirchen;Serbia;England;0;1
1;8;3;2024-06-17;Munich;Romania;Ukraine;3;0
1;9;3;2024-06-17;Frankfurt;Belgium;Slovakia;0;1
1;10;3;2024-06-17;Düsseldorf;Austria;France;0;1
1;11;3;2024-06-18;Dortmund;Türkiye;Georgia;3;1
1;12;3;2024-06-18;Leipzig;Portugal;Czechia;2;1
1;13;3;2024-06-19;Hamburg;Croatia;Albania;2;2
1;14;3;2024-06-19;Stuttgart;Germany;Hungary;2;0
1;15;3;2024-06-19;Cologne;Scotland;Switzerland;1;1
1;16;3;2024-06-20;Munich;Slovenia;Serbia;1;1
1;17;3;2024-06-20;Frankfurt;Denmark;England;1;1
1;18;3;2024-06-20;Gelsenkirchen;Spain;Italy;1;0
1;19;3;2024-06-21;Düsseldorf;Slovakia;Ukraine;1;2
1;20;3;2024-06-21;Berlin;Poland;Austria;1;3
1;21;3;2024-06-21;Leipzig;Netherlands;France;0;0
1;22;3;2024-06-22;Hamburg;Georgia;Czechia;1;1
1;23;3;2024-06-22;Dortmund;Türkiye;Portugal;0;3
1;24;3;2024-06-22;Cologne;Belgium;Romania;2;0
1;25;3;2024-06-23;Frankfurt;Switzerland;Germany;1;1
1;26;3;2024-06-23;Stuttgart;Scotland;Hungary;0;1
1;27;3;2024-06-24;Leipzig;Croatia;Italy;1;1
1;28;3;2024-06-24;Düsseldorf;Albania;Spain;0;1
1;29;3;2024-06-25;Berlin;Netherlands;Austria;2;3
1;30;3;2024-06-25;Dortmund;France;Poland;1;1
1;31;3;2024-06-25;Cologne;England;Slovenia;0;0
1;32;3;2024-06-25;Munich;Denmark;Serbia;0;0
1;33;3;2024-06-26;Frankfurt;Slovakia;Romania;NA;NA
1;34;3;2024-06-26;Stuttgart;Ukraine;Belgium;NA;NA
1;35;3;2024-06-26;Hamburg;Czechia;Türkiye;NA;NA
1;36;3;2024-06-26;Gelsenkirchen;Georgia;Portugal;NA;NA
2;37;4;2024-06-29;Berlin;Switzerland;Italy;NA;NA
2;38;4;2024-06-29;Dortmund;Germany;Denmark;NA;NA
2;39;4;2024-06-30;Gelsenkirchen;England;NA;NA;NA
2;40;4;2024-06-30;Cologne;Spain;NA;NA;NA
2;41;4;2024-07-01;NA;France;NA;NA;NA
2;42;4;2024-07-01;Frankfurt;Portugal;NA;NA;NA
2;43;4;2024-07-02;NA;NA;NA;NA;NA
2;44;4;2024-07-02;Leipzig;Austria;NA;NA;NA
3;45;6;2024-07-05;NA;NA;NA;NA;NA
3;46;6;2024-07-05;NA;NA;NA;NA;NA
3;47;6;2024-07-06;NA;NA;NA;NA;NA
3;48;6;2024-07-06;NA;NA;NA;NA;NA
4;49;8;2024-07-09;NA;NA;NA;NA;NA
4;50;8;2024-07-10;NA;NA;NA;NA;NA
5;51;10;2024-07-14;NA;NA;NA;NA;NA
